case_name,run_id,target_prompt_tokens,prompt_tokens,prompt_chars,max_tokens,latency_seconds,ttft_seconds,tpot_seconds,completion_tokens,total_tokens,one_over_tpot_tokens_per_second,response_chars,response_preview,error
long_prompt_short_output,7,2048,2088,5163,64,1.9327,0.2150,0.0273,64,2152,36.6300,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,8,2048,2088,5163,64,1.9514,0.2337,0.0273,64,2152,36.6300,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,9,2048,2088,5163,64,1.9332,0.2183,0.0272,64,2152,36.7647,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_short_output,10,2048,2088,5163,64,1.9613,0.2451,0.0272,64,2152,36.7647,124,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,1,2048,2088,5163,512,14.1832,0.2384,0.0273,512,2600,36.6300,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,2,2048,2088,5163,512,14.1019,0.2235,0.0272,512,2600,36.7647,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,3,2048,2088,5163,512,13.7537,0.2454,0.0264,512,2600,37.8788,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,4,2048,2088,5163,512,13.5662,0.2301,0.0261,512,2600,38.3142,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,5,2048,2088,5163,512,13.5737,0.2349,0.0261,512,2600,38.3142,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,6,2048,2088,5163,512,13.5691,0.2376,0.0261,512,2600,38.3142,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,7,2048,2088,5163,512,13.5342,0.2277,0.0260,512,2600,38.4615,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,8,2048,2088,5163,512,13.5187,0.2290,0.0260,512,2600,38.4615,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,9,2048,2088,5163,512,13.5382,0.2182,0.0261,512,2600,38.3142,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
long_prompt_long_output,10,2048,2088,5163,512,13.6863,0.2478,0.0263,512,2600,38.0228,1055,### vLLM 线上推理性能分析：从预填充到解码的瓶颈定位  针对 vLLM 线上推理场景，以下结论基于**短 prompt/短输出**与**长 prompt/长输出**的对比实验，聚焦于 `prefill`、`decode`、`KV c,
